state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Bihar,Nawada,3241.0,205.0,Bihar,2219146.0,22.63 %,939.0,59.76,146.04717310172472,98.59860242116783
Bihar,Patna,19175.0,15.0,Bihar,5838465.0,23.73 %,897.0,70.68,328.4253652287031,96.84859006933328
Bihar,Patna,990.0,15.0,Bihar,5838465.0,23.73 %,897.0,70.68,16.956511685862637,99.83729356811682
Bihar,Saharsa,3484.0,246.0,Bihar,1900661.0,26.02 %,906.0,53.2,183.30465032954325,98.2410978062439
Bihar,Samastipur,4843.0,45.0,Bihar,4261566.0,25.53 %,911.0,61.86,113.64366995606778,98.90953066366366
Bihar,Saran,7750.0,59.0,Bihar,3951862.0,21.64 %,954.0,65.96,196.11008684007692,98.11822307104275
Bihar,Sheikhpura,1566.0,516.0,Bihar,636342.0,21.09 %,930.0,63.86,246.09408148448475,97.63860099012618
Bihar,Sheohar,707.0,511.0,Bihar,656246.0,27.19 %,893.0,53.78,107.73398999765332,98.96623707577358
Bihar,Sitamarhi,5267.0,96.0,Bihar,3423574.0,27.62 %,899.0,52.05,153.84507535108048,98.5237775471211
Bihar,Siwan,4906.0,101.0,Bihar,3330464.0,22.70 %,988.0,69.45,147.30680169489895,98.58651563836189
Bihar,Supaul,3409.0,203.0,Bihar,2229076.0,28.66 %,929.0,57.67,152.9333230450644,98.53252627841805
Bihar,Vaishali,5090.0,87.0,Bihar,3495021.0,28.57 %,895.0,66.6,145.63574868362736,98.60255024960674
Bihar,Patna,12.0,15.0,Bihar,5838465.0,23.73 %,897.0,70.68,0.20553347498015317,99.99802780082565
Bihar,Patna,0.0,15.0,Bihar,5838465.0,23.73 %,897.0,70.68,0.0,100.0
Chhattisgarh,Bilaspur,6043.0,152.0,Chhattisgarh,2663629.0,33.29 %,971.0,70.78,226.87093435309495,97.82305695236997
Chhattisgarh,Bilaspur,6043.0,563.0,Himachal Pradesh,381956.0,12.05 %,981.0,84.59,1582.1194064237764,84.81875233530631
Chhattisgarh,Bijapur,393.0,210.0,Karnataka,2177331.0,20.50 %,960.0,67.15,18.049621302411072,99.82680462035086
Chhattisgarh,Bijapur,393.0,581.0,Chhattisgarh,255230.0,8.78 %,984.0,40.86,153.97876425185126,98.52249473350767
Chhattisgarh,Dhamtari,1390.0,485.0,Chhattisgarh,799781.0,13.19 %,1010.0,78.36,173.79757708672747,98.33232305313713
Chhattisgarh,Durg,6878.0,100.0,Chhattisgarh,3343872.0,18.98 %,988.0,79.06,205.68969147144387,98.02630184825253
Chhattisgarh,Raipur,870.0,53.0,Chhattisgarh,4063872.0,34.70 %,984.0,75.56,21.408154587546065,99.79457776984594
Chhattisgarh,Bastar,1324.0,348.0,Chhattisgarh,1413199.0,17.96 %,1023.0,54.4,93.6881500765285,99.10101411828722
Chhattisgarh,Jashpur,1139.0,473.0,Chhattisgarh,851669.0,14.60 %,1005.0,67.92,133.7374026763919,98.71672098590051
Chhattisgarh,Korba,2167.0,394.0,Chhattisgarh,1206640.0,19.25 %,969.0,72.37,179.58960419014787,98.27674558055153
Chhattisgarh,Korea,1887.0,510.0,Chhattisgarh,658917.0,12.38 %,968.0,70.64,286.37901283469694,97.25204639917709
Chhattisgarh,Mahasamund,1783.0,438.0,Chhattisgarh,1032754.0,20.05 %,1017.0,71.02,172.64517978143877,98.3433808967036
Chhattisgarh,Narayanpur,248.0,607.0,Chhattisgarh,139820.0,19.16 %,994.0,48.62,177.37090544986413,98.29803513362373
Chhattisgarh,Raigarh,2582.0,154.0,Maharashtra,2634200.0,19.31 %,959.0,83.14,98.018373699795,99.0594634003064
Chhattisgarh,Raigarh,2582.0,336.0,Chhattisgarh,1493984.0,18.05 %,991.0,73.26,172.82648274680318,98.34164120170436
Chhattisgarh,Raipur,8601.0,53.0,Chhattisgarh,4063872.0,34.70 %,984.0,75.56,211.64544552584331,97.96915333154593
Chhattisgarh,Rajnandgaon,3458.0,324.0,Chhattisgarh,1537133.0,19.79 %,1015.0,75.96,224.96426789353944,97.84135239557037
Chhattisgarh,Surguja,2239.0,192.0,Chhattisgarh,2359886.0,19.66 %,978.0,60.01,94.87746441989147,99.08960203679422
Goa,North Goa,1613.0,480.0,Goa,818008.0,7.84 %,963.0,89.57,197.18633558596005,98.107895911984
Goa,South Goa,1281.0,515.0,Goa,640537.0,8.73 %,986.0,87.59,199.9884471935267,98.08100821303672
Goa,North Goa,71.0,480.0,Goa,818008.0,7.84 %,963.0,89.57,8.679621715191049,99.91671457517103
Gujarat,Ahmadabad,18302.0,8.0,Gujarat,7214225.0,24.03 %,904.0,85.31,253.6932241508963,97.56568331628327
Gujarat,Ahmadabad,3832.0,8.0,Gujarat,7214225.0,24.03 %,904.0,85.31,53.11727870977132,99.49031245044243
Gujarat,Amreli,1777.0,329.0,Gujarat,1514190.0,8.63 %,964.0,74.25,117.35647441866608,98.87390439939534
Gujarat,Anand,3947.0,218.0,Gujarat,2092745.0,12.70 %,925.0,84.37,188.60396273793512,98.1902481840234
Gujarat,Bharuch,2695.0,321.0,Gujarat,1551019.0,13.16 %,925.0,81.51,173.75673670019515,98.33271493760562
Gujarat,Gandhinagar,12.0,350.0,Gujarat,1391753.0,4.29 %,923.0,84.16,0.8622219603622194,99.99172653778909
Gujarat,Dohad,2549.0,216.0,Gujarat,2127086.0,29.98 %,990.0,58.82,119.83530520157625,98.85011874587171
Gujarat,Gandhinagar,2782.0,350.0,Gujarat,1391753.0,4.29 %,923.0,84.16,199.89179114397456,98.08193567743706
Gujarat,Jamnagar,2781.0,211.0,Gujarat,2160119.0,13.44 %,939.0,73.65,128.74290721946338,98.76464573303652
Gujarat,Kachchh,2012.0,219.0,Gujarat,2092371.0,32.16 %,908.0,70.59,96.15885519346234,99.0773064346988
Gujarat,Kachchh,1662.0,219.0,Gujarat,2092371.0,32.16 %,908.0,70.59,79.43142014489783,99.2378147586826
Gujarat,Kheda,2869.0,196.0,Gujarat,2299885.0,13.62 %,940.0,82.65,124.74536770316776,98.80300417627403
